ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2047758,Source2,2,2019-06-12 10:10:56,2019-06-12 10:55:58,30.641211,-91.153481,,,0,Accident on LA-19 Baker-Zachary Hwy at Lower Zachary Rd.,Highway 19,Zachary,East Baton Rouge,LA,70791-4610,US,US/Central,KBTR,2019-06-12 9:53:00,77,77,62,29.92,10,NW,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-4694324,Source1,2,2022-12-03 23:37:14,2022-12-04 1:56:53,38.990562,-77.39907,38.990037,-77.398282,0.056,Incident on FOREST RIDGE DR near PEPPERIDGE PL Drive with caution.,Forest Ridge Dr,Sterling,Loudoun,VA,20164-2813,US,US/Eastern,KIAD,2022-12-03 23:52:00,45,43,48,29.91,10,W,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-5006183,Source1,2,2022-08-20 13:13:00,2022-08-20 15:22:45,34.66118932,-120.4928219,34.66118932,-120.4924419,0.022,Accident on W Central Ave from Floradale Ave to Western Ave.,Floradale Ave,Lompoc,Santa Barbara,CA,93436,US,US/Pacific,KLPC,2022-08-20 12:56:00,68,68,73,29.79,10,W,13,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-4237356,Source1,2,2022-02-21 17:43:04,2022-02-21 19:43:23,43.680592,-92.993317,43.680574,-92.972223,1.054,Incident on I-90 EB near REST AREA Drive with caution.,14th St NW,Austin,Mower,MN,55912,US,US/Central,KAUM,2022-02-21 17:35:00,27,15,86,28.49,10,ENE,15,0,Wintry Mix,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6690583,Source1,2,2020-12-04 1:46:00,2020-12-04 4:13:09,35.395484,-118.985176,35.395476,-118.985995,0.046,RP ADV THEY LOCATED SUSP VEH OF 20002 - 726 CRAWFORD,River Blvd,Bakersfield,Kern,CA,93305-2649,US,US/Pacific,KBFL,2020-12-04 1:54:00,42,42,34,29.77,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-1101469,Source2,2,2021-03-29 7:03:58,2021-03-29 8:51:01,42.532082,-70.944267,,,0,Accident on Forest St at Lowell St.,Lowell St,Peabody,Essex,MA,01960-4275,US,US/Eastern,KBVY,2021-03-29 6:53:00,42,35,58,29.37,10,W,13,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-7222249,Source1,2,2020-01-14 16:49:23,2020-01-14 20:49:23,42.42128,-123.11945,42.42128,-123.11945,0,At OR-99/Exit 45A - Accident.,I-5 N,Gold Hill,Jackson,OR,97525,US,US/Pacific,KMFR,2020-01-14 16:53:00,35,35,89,28.71,10,CALM,0,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6198239,Source1,2,2021-08-13 16:48:00,2021-08-13 19:09:09,30.19101,-85.682508,30.190329,-85.68253,0.047,Incident on CLAREMONT DR near SPRINGHILL CIR Drive with caution.,Claremont Dr,Panama City,Bay,FL,32405-3534,US,US/Central,KPAM,2021-08-13 16:56:00,90,90,55,30.03,10,SW,12,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4222549,Source1,2,2022-10-12 13:59:30,2022-10-12 15:33:53,32.868947,-96.804018,32.8695,-96.804014,0.038,Incident on PRESTON RD near NORTHWOOD RD Expect long delays.,Preston Rd,Dallas,Dallas,TX,75225,US,US/Central,KDAL,2022-10-12 13:53:00,91,91,39,29.34,10,VAR,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5924038,Source1,2,2021-10-21 7:39:30,2021-10-21 9:24:30,39.71721768,-86.12469077,39.73347768,-86.13702077,1.301,Incident on I-65 NB near NELSON ST Left shoulder closed.,I-65,Indianapolis,Marion,IN,46237,US,US/Eastern,KIND,2021-10-21 7:47:00,63,63,78,29.06,10,SW,10,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
